"title","url","course_num","subjects","grade_levels","length","type","uccsu","prereq","enroll_criteria","fulfillment","description"
"Mandarin 3 Honors","https://curriculum.siprep.org/courses/mandarin-3h/","4633","Mandarin","9, 10, 11, 12","Year","AP/Honors, Elective","E","Mandarin 2/2H or placement by written and oral examination","See criteria for Honors Enrollment","Meets one year of language graduation requirement","Mandarin 3H is an advanced language course designed for students identified during their first two years as superior Mandarin students, who wish to become fluent in Mandarin and prepare themselves for Mandarin 4 AP. This course broadens the range of grammatical structures the students can effectively use in communication. Considerable emphasis will be given to enriching the students’ active vocabulary and increasing their ability to comprehend and express themselves in spoken and written Mandarin. The students will be required to speak in Mandarin in various situations ranging from class discussions to oral presentations and skits. Students will be able to read with comprehension selected short stories and various articles. This course includes a closer look at the classic and modern Chinese culture, enriching the student’s vocabulary and deepening his or her awareness of the Mandarin-speaking world. This class is conducted mainly in Mandarin and students are expected to speak in Mandarin at all times. * Class receives honors weighting in SI weighted GPA and UC/CSU GPA calculations"
"Mandarin 4","https://curriculum.siprep.org/courses/mandarin-4/","4640","Mandarin","11, 12","Year","Elective","E","Mandarin 3 or placement by examination","Minimum semester grade of C in Mandarin 3 or placement by examination","Meets one year of language graduation requirement","Mandarin 4 is a two-semester course designed for students who have received an A, B or C+ in Mandarin 3 and/or teacher approval. This course is designed for students who are interested in using their foundation in Mandarin to explore in greater depth the cultures of the Chinese world through art, film, literature, history, current events, and social justice issues. The primary aim of this course is to improve the student’s ability to speak, read, write and comprehend Mandarin in more sophisticated contexts. The student will review vocabulary and grammar, master new advanced language concepts, and enhance his/her knowledge of the diversity of the Mandarin-speaking world. The class is conducted entirely in Mandarin except for complex grammatical explanations and students are expected to speak in Mandarin at all times."
"Math Analysis","https://curriculum.siprep.org/courses/math-analysis/","2460","Mathematics","12","Year","Elective","C","Algebra 1, Geometry, Algebra 2","Approval of Department Chair","","This course is designed to give each student thorough preparation in basic Trigonometry and Statistics. THIS COURSE IS NOT MEANT TO BE A PREPARATION FOR CALCULUS. Topics include the Trigonometric and Circular functions and their applications, Identities, Oblique Triangle Trig, and Vectors (in two dimensions) in rectangular and polar form. The course also includes an introduction to the major concepts and tools for collecting, analyzing, and drawing conclusions from data. A Texas Instruments TI-83 or TI-84 series graphing calculator is required."
"Mathematics Teaching Assistant","https://curriculum.siprep.org/courses/mathematics-teaching-assistant/","","Mathematics","12","Semester, Year","Elective","","None","Application Supervising Teacher Supervision, approval of Department Chair. Enrollment is via roster submitted by instructor. Students should not list this course on their Schedule Request Forms.","","Math Teaching Assistants provide support for the math department (1 hour/week) either before school, after school, or during resource period in one or more of the following ways: Assist students taking courses in which the Teaching Assistant has demonstrated mastery. Assist with grading assignments that require no teacher interpretation. Students interested in being a Teaching Assistant are required to fill out a short application available from their teacher or the math department chair. Teaching Assistants are typically supervised by an individual teacher, whose signature is required at the time of application. Students will be selected based on department needs and student qualifications. In some cases, students taking AP math courses will have priority in being a Teaching Assistant due to their qualifications in offering peer assistance."
"Mixed Chorus 1A","https://curriculum.siprep.org/courses/mixed-chorus-a/","6551","Performing Arts","10, 11, 12","Semester","Elective","F","Audition","Enrollment is via roster submitted by instructor. Students should not list this course on their Schedule Request Forms.","","This course is open to all sophomores, juniors and seniors. Students will be introduced to good practice procedures for choral rehearsal and to an awareness of different styles of choral music. Student achievement will involve study of sight-singing, notation, phrasing, rhythm, harmony and musical terminology. Students will be expected to spend additional hours beyond the regular class time. Students are expected to attend all rehearsals and performances. Ensembles will perform at concerts and choral festivals. This course is offered outside of the 9:00 am – 2:45 pm school day. Meets 1 evening per week, plus performances. One Semester; offered after school/evenings ONLY First Semester Taken: Mixed Chorus A ( 6551 ) Second Semester Taken: Mixed Chorus B ( 6552 )"
"Mixed Chorus 1B","https://curriculum.siprep.org/courses/mixed-chorus-b/","6552","Performing Arts","10, 11, 12","Semester","Elective","F","Audition","Enrollment is via roster submitted by instructor. Students should not list this course on their Schedule Request Forms.","","This course is open to all sophomores, juniors and seniors. Students will be introduced to good practice procedures for choral rehearsal and to an awareness of different styles of choral music. Student achievement will involve study of sight-singing, notation, phrasing, rhythm, harmony and musical terminology. Students will be expected to spend additional hours beyond the regular class time. Students are expected to attend all rehearsals and performances. Ensembles will perform at concerts and choral festivals. This course is offered outside of the 9:00 am – 2:45 pm school day. Meets 1 evening per week, plus performances. One Semester; offered after school/evenings ONLY First Semester Taken: Mixed Chorus A ( 6551 ) Second Semester Taken: Mixed Chorus B ( 6552 )"
"Mixed Chorus C","https://curriculum.siprep.org/courses/mixed-chorus-c/","9853","Performing Arts","10, 11, 12","Semester","Elective","F","Audition and co-enrollment in Mixed Chorus A, B, or C","Enrollment is via roster submitted by instructor. Students should not list this course on their Schedule Request Forms.","","This course is open to all sophomores, juniors and seniors who have completed Mixed Chorus A/B. Students will be introduced to good practice procedures for choral rehearsal and to an awareness of different styles of choral music. Student achievement will involve study of sight-singing, notation, phrasing, rhythm, harmony and musical terminology. Students will be expected to spend additional hours beyond the regular class time. Students are expected to attend all rehearsals and performances. Ensembles will perform at concerts and choral festivals. This course is offered outside of the 9:00 am – 2:45 pm school day. Meets 1 evening per week, plus performances. One Semester; offered after school/evenings ONLY First Semester Taken: Mixed Chorus A ( 6551 ) Second Semester Taken: Mixed Chorus B ( 6552 ) Subsequent Semesters Taken: Mixed Chorus C ( 9853 )"
"Modern World History","https://curriculum.siprep.org/courses/modern-world-history/","5201","Social Science","10","Year","Core Lower-Division","A","Introduction to Ethnic Studies","None","Required for graduation","Study of the cultural, political, geopolitical, economic, and religious factors involved in global events from the Age of Exploration and Conquest to the present day. Mastery of basic historical content, the ability to analyze and interpret both primary and secondary source materials, note-taking and research skills will be developed. Writing skills for the Social Sciences, including the development of a formal thesis, the defense of that thesis through in-class writing and a formal research paper, and identifying historical significance are a major focus. Students will also be able to trace the roots of global inequality and consider the major world events of the 20th century that continue to form our modern world."
"Modern World History – (0) Zero Period","https://curriculum.siprep.org/courses/modern-world-history-zero-period/","5202","Social Science","10","Year","","A","Introduction for Ethnic Studies","None","Required for graduation","Study of the cultural, political, geopolitical, economic, and religious factors involved in global events from the Age of Exploration and Conquest to the present day. Mastery of basic historical content, the ability to analyze and interpret both primary and secondary source materials, note-taking and research skills will be developed. Writing skills for the Social Sciences, including the development of a formal thesis, the defense of that thesis through in-class writing and a formal research paper, and identifying historical significance are a major focus. Students will also be able to trace the roots of global inequality and consider the major world events of the 20th century that continue to form our modern world. This course meets Monday-Thursday for 50 minutes (8:00 am – 8:50 am). Students who will have morning practice or another morning commitment for the whole year that would prevent them from coming to class at 8:00 am should not take this class, as regular attendance is required. This class is offered outside of the 9:00 am – 2:45 pm school day. Zero period Modern World History classes will be of average size. Courses offered during the 9:00 am – 2:45 pm school day will be double the average class size, team-taught by two teachers."
"Multimedia Design 1A","https://curriculum.siprep.org/courses/multimedia-design-1a-2/","6710","Fine Arts, Technology & Engineering","9, 10, 11, 12","Semester","Elective","F","None","Interest in developing computer multimedia and design skills through creative web, print, and animation projects","Computer Science elective satisfying one semester of Arts graduation requirement and UC Visual & Performing Arts (VPA) requirement","Step into the world of professional multimedia production and master three creative disciplines: photo editing with Adobe Photoshop, Canva, and Adobe Lightroom; video editing with Adobe Premiere Pro; and music production with Logic Pro. Within each program, students learn how to use its key tools, then move into real-world applications and collaborative processes that explore the purpose behind every creative choice. Students focus on designing original work from scratch in modern contexts. Throughout the semester, projects are designed to mirror relevant marketing tactics in creative industries, encouraging collaboration, problem-solving, and professional production standards. By gaining foundational knowledge in these three disciplines, and exploring their newest AI-powered tools, students will graduate the course with a polished, professional portfolio that demonstrates their ability to edit, design, and produce using the latest innovations in digital media!"
"Multimedia Design 1B","https://curriculum.siprep.org/courses/multimedia-design-1b-2/","6720","Fine Arts, Technology & Engineering","9, 10, 11, 12","Semester","Elective","F","Multimedia Design 1A","Interest in developing computer multimedia and design skills through creative web, print animation, music, and video projects","Computer Science elective satisfying one semester of Arts graduation requirement and UC Visual & Performing Arts (VPA) requirement","This class further develops skills learned in Multimedia Design 1A with a focus on utilizing 2D and 3D graphics, sound and video-editing software such as Photoshop, Illustrator, Procreate, Logic, FL Studio, Soundtrap, Final Cut Pro, Premiere, OnShape, Blender, and game design in Roblox and Unity. The development of effective narrative structures will be emphasized so that students learn to use the various media to create intentional works with meaning. Particular attention will be paid to the design process and students’ conscious development of their own creative process. Sample projects include stop motions, animations, music videos, special effects, student documentary films, and the creation of video games. Student work will culminate with a digital portfolio."
"Music Appreciation 1B: Roots of Jazz: Exploring Music in Culture","https://curriculum.siprep.org/courses/music-appreciation-b-roots-of-jazz-exploring-music-in-culture/","6515","Fine Arts","9, 10, 11, 12","Semester","Elective","F","Music Appreciation A","None","One semester of Fine Arts graduation requirement","Roots of Jazz: Exploring Music in Culture is designed for non-musicians and develops the art of perceptive listening to music of Africa, Latin American, India, Bali, China, the Middle East, Asia, Japan, and Eastern Europe. Learning will be balanced between theoretical and experiential song-writing activities. Students will evolve specific criteria for listening to, describing, analyzing, understanding, and creating music as it is understood and experienced in different cultures. Students will play instruments and explore digital media. This is an intermediate level course, meeting four class hours per week with extensive lectures, experiential learning, audio-visual presentations, class projects, demonstration and attendance at live performances."
"Music Appreciation A: Survey of Western Music","https://curriculum.siprep.org/courses/music-appreciation-a-survey-of-western-music/","6500","Fine Arts","9, 10, 11, 12","Semester","Elective","F","None","None","One semester of Fine Arts graduation requirement","Music Appreciation A is designed for non-musicians and develops the art of perceptive listening and performance in musical composition through experiential activities. Lectures and experiential learning will cover the instruments of the orchestra, composers, performance practice, musical composition techniques, major compositions of the era, baroque, classical, romantic and 20th century eras, and Broadway musicals. Students will have practice in playing instruments, creating, listening to, analyzing, and describing music. They will evolve specific criteria for making informed critical evaluation of the quality and effectiveness of performances and compositions. Students will identify, explain and perform stylistic features of a given musical work. This is an introductory level course, meeting three times per week with extensive participation in musical activities, class projects, demonstrations and live performances."
"Musica del Caribe","https://curriculum.siprep.org/courses/musica-del-caribe/","4148","Spanish","11, 12","Semester","Elective","E","Available to students who have completed Spanish 3, 3H, 4 or 4AP","Minimum semester grade of C+ in Spanish 3H, 4 or 4AP. Students who have completed only Spanish 3 must have recommendation of Language Department Chair.","Meets one semester of language graduation requirement","Students will delve into Caribbean music for one semester in this advanced Spanish course designed for students who wish to improve their Spanish and cultural awareness. Genres include salsa, son, merengue, bachata, rumba, latin jazz, and cumbia. Through music, students will better understand the beautiful culture, complex history, and powerful influence of Caribbean people from Cuba, Puerto Rico, the Dominican Republic, and Colombia. Students will learn to recognize styles and instruments, break down song lyrics, watch films like Buena Vista Social Club , and read related literature like stories by Gabriel García Márquez. Themes of the music include love and friendship, religious syncretism, political resistance, baseball and fútbol, and racial, geographic, and national identities. Students will experience artists like Bomba Estereo, Carlos Vives, Celia Cruz, Afro-Cuban All Stars, Gloria Estefan, Tito Puente, Juan Luis Guerra, Sara González, and Prince Royce. Students will create and dance to different Caribbean rhythms. Students are asked to go see a live concert and report back on their experience. Students do not need a background in music to take this course. In order to immerse students, the class will be conducted in Spanish and students are expected to speak Spanish in class. * This class will be offered pending adequate enrollment."
"Orchestra 1A","https://curriculum.siprep.org/courses/orchestra-a/","6521","Performing Arts","9, 10, 11, 12","Semester","Elective","F","Participation in middle school orchestra program, or private lessons for at least six months","Admission is made by audition. Enrollment is via roster submitted by instructor. Students should not list this course on their Schedule Request Forms.","Fulfills one semester of Fine Arts graduation requirement","An audition is required to participate. Auditions are held at the beginning of Fall Semester, and again in December for the following Spring Semester. Students develop technical mastery in all aspects of ensemble playing, including tone production, intonation, rhythmic execution and musicianship. Orchestra performs works from the baroque, classical, romantic and 20th century repertoire from MENC grades 4-5, and will perform at the CMEA festival in the spring. This course is offered outside of the 9:00 am – 2:45 pm school day, offered after school/evenings ONLY. Meets 1 evening per week, plus performances. First Semester Taken: Orchestra A (6521 ) Second Semester Taken: Orchestra B (6522 ) Subsequent Semesters Taken: Orchestra C ( 9803 )"
"Orchestra 1B","https://curriculum.siprep.org/courses/orchestra-b/","6522","Performing Arts","9, 10, 11, 12","Semester","Elective","F","Participation in middle school orchestra program, or private lessons for at least six months","Admission is made by audition. Enrollment is via roster submitted by instructor. Students should not list this course on their Schedule Request Forms.","","An audition is required to participate. Auditions are held at the beginning of Fall Semester, and again in December for the following Spring Semester. Students develop technical mastery in all aspects of ensemble playing, including tone production, intonation, rhythmic execution and musicianship. Orchestra performs works from the baroque, classical, romantic and 20th century repertoire from MENC grades 4-5, and will perform at the CMEA festival in the spring. This course is offered outside of the 9:00 am – 2:45 pm school day, offered after school/evenings ONLY. Meets 1 evening per week, plus performances. First Semester Taken: Orchestra A (6521 ) Second Semester Taken: Orchestra B (6522 ) Subsequent Semesters Taken: Orchestra C ( 9803 )"
"Orchestra Advanced A (Honors Strings)","https://curriculum.siprep.org/courses/orchestra-advanced-a-honors-strings/","","Performing Arts","9, 10, 11, 12","Semester","Elective","F","Admission is made by audition. Enrollment is via roster submitted by instructor. Students should not list this course on their Schedule Request Forms.","","","Important Arts Department Information This is Honors Strings for which an audition is required to participate. Auditions are held at the beginning of Fall Semester, and again in December for the following Spring Semester. Students develop technical mastery in all aspects of ensemble playing, including tone production, intonation, rhythmic execution and musicianship. Honors Strings performs works from the baroque, classical, romantic and 20th century repertoire, and will perform at an adjudicated festival in the spring while on the annual orchestra/band trip. In the fall semester students audition for All-State & CODA Honor Orchestras. This course is offered outside of the 9:00 am – 2:45 pm school day. Meets Mondays 3:15-5:15pm and Tuesdays 8-8:50am, plus performances. First Semester Taken: Orchestra Advanced A (? ) Second Semester Taken: Orchestra Advanced B (? ) Subsequent Semesters Taken: Orchestra Advanced C ( ?"
"Orchestra Advanced B (Honors Strings)","https://curriculum.siprep.org/courses/orchestra-advanced-b-honors-strings/","","Performing Arts","9, 10, 11, 12","Semester","Elective","F","","Admission is made by audition. Enrollment is via roster submitted by instructor. Students should not list this course on their Schedule Request Forms.","","Important Arts Department Information This is Honors Strings for which an audition is required to participate. Auditions are held at the beginning of Fall Semester, and again in December for the following Spring Semester. Students develop technical mastery in all aspects of ensemble playing, including tone production, intonation, rhythmic execution and musicianship. Honors Strings performs works from the baroque, classical, romantic and 20th century repertoire, and will perform at an adjudicated festival in the spring while on the annual orchestra/band spring trip. In the fall semester students audition for All-State & CODA Honor Orchestras. This course is offered outside of the 9:00 am – 2:45 pm school day. Meets Mondays 3:15-5:15pm and Tuesdays 8-8:50am, plus performances. First Semester Taken: Orchestra Advanced A (? ) Second Semester Taken: Orchestra Advanced B (? ) Subsequent Semesters Taken: Orchestra Advanced C ( ?"
"Orchestra Advanced C (Honors Strings)","https://curriculum.siprep.org/courses/orchestra-advanced-c-honors-strings/","","Performing Arts","9, 10, 11, 12","","Elective","F","","Admission is made by audition. Enrollment is via roster submitted by instructor. Students should not list this course on their Schedule Request Forms.","","Important Arts Department Information This is Honors Strings for which an audition is required to participate. Auditions are held at the beginning of Fall Semester, and again in December for the following Spring Semester. Students develop technical mastery in all aspects of ensemble playing, including tone production, intonation, rhythmic execution and musicianship. Honors Strings performs works from the baroque, classical, romantic and 20th century repertoire from MENC grades 4-5, and will perform at an adjudicated festival in the spring while on the annual spring trip. In the fall semester students audition for All-State & CODA Honor Orchestras. This course is offered outside of the 9:00 am – 2:45 pm school day. Meets Mondays 3:15-5:15pm and Tuesdays 8-8:50am, plus performances. First Semester Taken: Orchestra Advanced A (? ) Second Semester Taken: Orchestra Advanced B (? ) Subsequent Semesters Taken: Orchestra Advanced C ( ?"
"Orchestra C","https://curriculum.siprep.org/courses/orchestra-c/","9803","Performing Arts","9, 10, 11, 12","Semester","Elective","F","Participation in middle school orchestra program, or private lessons for at least six months","Admission is made by audition. Enrollment is via roster submitted by instructor. Students should not list this course on their Schedule Request Forms.","","This is the symphonic orchestra for which an audition is required to participate. Auditions are held at the beginning of Fall Semester, and again in December for the following Spring Semester. Students develop technical mastery in all aspects of ensemble playing, including tone production, intonation, rhythmic execution and musicianship. Orchestra performs works from the baroque, classical, romantic and 20th century repertoire from MENC grades 4-5, and will perform at the CMEA festival in the spring. This course is offered outside of the 9:00 am – 2:45 pm school day. Meets 1 evening per week, plus performances. (Fall: Mondays 2:45-5:00-pm/Spring: Mondays 6:00-8:30pm) First Semester Taken: Orchestra A (6521 ) Second Semester Taken: Orchestra B (6522 ) Subsequent Semesters Taken: Orchestra C ( 9803 )"
"Pep Band 1A","https://curriculum.siprep.org/courses/pep-band-a/","6538","Performing Arts","9, 10, 11, 12","Semester","Elective","F","Participation in middle school band or orchestra program, or private lessons for at least six months","Enrollment is via roster submitted by instructor. Students should not list this course on their Schedule Request Forms but instead email the teacher directly to request enrollment.","","This course is open to all wind, brass, and percussion students. It will include a variety of styles and difficulties of concert band and pep band music. A cornerstone of this ensemble will be developing technical proficiency on each student’s instrument, as well as establishing a strong level of ensemble cohesion. Music of all historical periods (including 20 th century and popular music), various cultures, and multiple geographic areas will be studied for performance. Students will participate in a two-week band camp during August (mandatory) to prepare for football season performances. In rehearsal, students will be graded daily on their preparedness and involvement. Additionally, periodic playing tests will be given to assess progress and these are also graded with a rubric that reflects the core concepts of intonation, proper fingerings/positions/sticking, correct rhythms, and overall musicianship. This course is offered during 0 period. (8:00-8:45 am, Tue, Thu during fall semester ONLY) Meets 2 mornings per week, plus: 8 home football & volleyball games (and playoffs, if applicable) for the FALL semester First Semester Taken: Pep Band A ( 6538 ) Second Semester Taken: Pep Band B ( 6539 ) Subsequent Semesters Taken: Pep Band C ( 9818 )"
"Pep Band 1B","https://curriculum.siprep.org/courses/pep-band-b/","6539","Performing Arts","9, 10, 11, 12","Semester","Elective","F","Participation in middle school band or orchestra program, or private lessons for at least six months","Enrollment is via roster submitted by instructor. Students should not list this course on their Schedule Request Forms but instead email the teacher directly to request enrollment.","","This course is open to all wind, brass, and percussion students. It will include a variety of styles and difficulties of concert band and pep band music. A cornerstone of this ensemble will be developing technical proficiency on each student’s instrument, as well as establishing a strong level of ensemble cohesion. Music of all historical periods (including 20 th century and popular music), various cultures, and multiple geographic areas will be studied for performance. Students will participate in a two-week band camp during August (mandatory) to prepare for football season performances. In rehearsal, students will be graded daily on their preparedness and involvement. Additionally, periodic playing tests will be given to assess progress and these are also graded with a rubric that reflects the core concepts of intonation, proper fingerings/positions/sticking, correct rhythms, and overall musicianship. This course is offered during 0 period. (8:00-8:45 am, Tue, Thu during fall semester ONLY) Meets 2 mornings per week, plus: 8 home football & volleyball games (and playoffs, if applicable) for the FALL semester First Semester Taken: Pep Band A ( 6538 ) Second Semester Taken: Pep Band B ( 6539 ) Subsequent Semesters Taken: Pep Band C ( 9818 )"
"Pep Band C","https://curriculum.siprep.org/courses/pep-band-c/","9818","Performing Arts","9, 10, 11, 12","Semester","Elective","F","Participation in middle school band or orchestra program, or private lessons for at least six months","Enrollment is via roster submitted by instructor. Students should not list this course on their Schedule Request Forms but instead email the teacher directly to request enrollment.","","This course is open to all wind, brass, and percussion students. It will include a variety of styles and difficulties of concert band and pep band music. A cornerstone of this ensemble will be developing technical proficiency on each student’s instrument, as well as establishing a strong level of ensemble cohesion. Music of all historical periods (including 20 th century and popular music), various cultures, and multiple geographic areas will be studied for performance. Students will participate in a two-week band camp during August (mandatory) to prepare for football season performances. In rehearsal, students will be graded daily on their preparedness and involvement. Additionally, periodic playing tests will be given to assess progress and these are also graded with a rubric that reflects the core concepts of intonation, proper fingerings/positions/sticking, correct rhythms, and overall musicianship. This course is offered during 0 period. (8:00-8:45 am, Tue, Thu during fall semester ONLY) Meets 2 mornings per week, plus: 8 home football & volleyball games (and playoffs, if applicable) for the FALL semester First Semester Taken: Pep Band A ( 6538 ) Second Semester Taken: Pep Band B ( 6539 ) Subsequent Semesters Taken: Pep Band C ( 9818 )"
"Photography 1A","https://curriculum.siprep.org/courses/photography-1a/","6160","Fine Arts","9, 10, 11, 12","Semester","Elective","F","None","Students will need a 35 mm camera, an SLR and DSLR cameras. If they do not have these at home, they may borrow them from the school.","One semester of Fine Arts graduation requirement","Photography 1A offers a comprehensive introduction to photography as an art form. The course introduces students to the fundamental concepts and techniques of photography through the study of its history and major practitioners. Students will explore various approaches to black-and-white photography, beginning with photograms and continuing with pinhole photography and 35mm film cameras. They will create their own photograms, use pinhole cameras to produce negatives and positive prints, and learn how to process black-and-white film and make enlargements. Portrait photography is a major focus of the course. The work of renowned portrait photographers such as Arnold Newman, Irving Penn, Richard Avedon, Annie Leibovitz, and Yousuf Karsh will be studied and discussed. By the end of the semester, students will complete a final project centered on either a portrait or self-portrait."
"Photography 1B","https://curriculum.siprep.org/courses/photography-1b/","6165","Fine Arts","9, 10, 11, 12","Semester","Elective","F","None","Students should have a 35 mm SLR and DSLR cameras. If they do not have these at home, they may borrow them from the school.","Fulfills one semester of Fine Arts graduation requirement","Photography 1B builds on the skills developed in Photography 1A. In this course, students will learn basic lighting techniques and explore more advanced strategies while using DSLR cameras. Still life, landscape, and documentary photography are the three major themes of the class. The work of a variety of photographers, including Aaron Siskind, Ansel Adams, Henri Cartier Bresson, Robert Frank, W. Eugene Smith, Sebastião Salgado, and others, will be presented and discussed. By the end of the semester, students will research the life and artistic style of a photographer who has made significant aesthetic contributions to the history of photography. The final project will consist of creating a cohesive series of images that demonstrate thematic unity."
"Physical Education 210: Weight Training and Fitness","https://curriculum.siprep.org/courses/physical-education-210-weight-training-and-fitness/","7210","PE/Wellness","10, 11, 12","Semester","Elective","G","Wellness-9","None","","PE 210 is a weight lifting and fitness class which introduces resistance training as a lifelong fitness choice. Through safe lifting technique, appropriate progression and repetition, students will learn more about their bodies and how weight training can support their fitness goals. This class is centered on the development of Muscular Strength and Muscle Endurance and is appropriate for students new to weight lifting, as well as in and out of season athletes. In addition to our program, each student must complete a Standard First Aid & CPR (or an equivalent) course during the semester enrolled. We will offer the CPR/SFA course pending staff availability and enrollment. *UC/CSU Subject G Approval pending ** This class will be offered pending staffing availability and adequate enrollment."
"Physical Education 315: Foundation in Kinesiology 1","https://curriculum.siprep.org/courses/physical-education-315-foundation-in-kinesiology-1/","7315","PE/Wellness","10, 11, 12","Semester","Elective","G","Wellness-9 or Instructor Approval","None","","Foundations of Kinesiology is a course that introduces students to the field of Kinesiology and its overall relationship with exercise science, sports performance, and sports psychology. This UC/CSU approved College Prep Elective (“G”) course will be taught in two one-semester courses allowing maximum flexibility in scheduling. Students do not have to take Foundations of Kinesiology 1 to take Foundations of Kinesiology 2. While each course will share common threads in training, nutrition, sports, psychology, and basic human anatomy, each course offers a slightly different approach to discovering the keys that improve performance. Both courses will involve some physical activity. Foundations of Kinesiology 1 will concentrate on “how” the body moves by investigating human movement and understanding the benefits of kinesiology. Foundations 1 will explore the purpose of exercise and sports nutrition. *This class will be offered pending staffing availability and adequate enrollment."
"Physical Education 316: Foundations in Kinesiology 2","https://curriculum.siprep.org/courses/physical-education-316-foundations-in-kinesiology-2/","7316","PE/Wellness","10, 11, 12","Semester","Elective","G","Wellness-9 or Instructor Approval","None","","Foundations of Kinesiology is a course that introduces students to the field of Kinesiology and its overall relationship with exercise science, sports performance, and sports psychology. This UC/CSU approved College Prep Elective (“G”) course will be taught in two one-semester courses allowing maximum flexibility in scheduling. Students do not have to take Foundations of Kinesiology 1 to take Foundations of Kinesiology 2. While each course will share common threads in training, nutrition, sports, psychology, and basic human anatomy, each course offers a slightly different approach to discovering the keys that improve performance. Both courses will involve some physical activity. Foundations of Kinesiology 2 will concentrate on “why” the body moves by understanding the relationship between fitness principles of exercise and how to improve sports performance. Foundations 2 will also introduce to students the vocations/careers associated with the field of Kinesiology. *This class will be offered pending staffing availability and adequate enrollment."
"Physical Education 615: Sports Medicine 1 Prevention & Care of Athletic Injuries","https://curriculum.siprep.org/courses/physical-education-615-sports-medicine-1-prevention-care-of-athletic-injuries/","7615","PE/Wellness, Science","10, 11, 12","Semester","Elective","D","Wellness-9 or Instructor Approval","","","This course prepares students to become student trainers. This is a lecture, reading, and activity course. In Sports Medicine 1, students will learn the fundamentals of anatomy, prevention, care, treatment, taping, and rehabilitation of athletic injuries. Students are exposed to a variety of situations/scenarios aimed at achieving a basic knowledge of sports medicine through various “hands-on” activities. Students are educated and evaluated on their performance through active participation, homework assignments, tests/quizzes, taping, and game day evaluation. *This class will require 1-2 hours a week of practical work in the Training Room after school. **This class will be offered pending staffing availability and adequate enrollment."
"Physical Education 815: Yoga Fitness","https://curriculum.siprep.org/courses/physical-education-815-yoga-fitness/","7815","PE/Wellness","10, 11, 12","Semester","Elective","","Wellness-9 or Instructor Approval","None","","Through movement and in stillness, seeking balance and leaning outside the comfort zone, the PE 815 student has the unique opportunity to focus on personal performance and to build sustainable habits toward becoming the best version of themselves on and off the mat, be it for athletics, performing arts, academics, or for your personal life …. Do you have space in your schedule to focus on yourSelf? *This class will be offered pending staffing availability and adequate enrollment."
"Physics","https://curriculum.siprep.org/courses/physics-physical-science/","3041","Science","10, 11, 12","Year","Elective","D","Biology, Chemistry, Algebra 1","Science GPA 2.0 or higher","One of two years of science; UC approved laboratory science course","Physics (Physical Science) is the scientific study of the most fundamental laws of nature. This course aims to further develop students’ appreciation for and competence in the scientific method. This course also aims to develop students’ conceptual and quantitative understanding of physical principles. Students perform experiments to develop proficiency in laboratory technique in applying physical principles to the analysis of experimental data. Units of study in this course include motion, Newton’s Laws, momentum, energy waves, sound, fundamental particles of nature, and electricity and magnetism."
"Physics Honors","https://curriculum.siprep.org/courses/physics-honors-physical-science/","3044","Science","10, 11, 12","Year","AP/Honors, Elective","D","Biology and Chemistry","Science GPA 3.3 or higher and Overall GPA of 3.3 or higher and previous or concurrent enrollment in Precalculus Honors","One of two years of science; UC approved laboratory science course","The (Physical Science) honors course differs from the non-honors course in that each topic is covered in more detail, at a faster pace, and with greater mathematical rigor, including trigonometry. * Class receives honors weighting in SI weighted GPA and UC/CSU GPA calculations"
"Precalculus","https://curriculum.siprep.org/courses/precalculus/","2405","Mathematics","12","Year","Elective","C","Algebra 1, Geometry, Grade of B or better in Algebra 2","Minimum Math GPA of 3.0; Approval of Department Chair","","This course is designed to give a thorough preparation for college Calculus. The course content is the same as Precalculus Honors, but is presented at a slower rate and with additional algebra review. Most of the course is an analysis of families of functions and relations – polynomials; rational functions; radical functions; trigonometric functions, including an intense study of right triangle trigonometry, its applications to vectors, circular functions, and trigonometric identities; logarithmic functions; and exponential functions — and their graphs both algebraically and through the graphing calculator, including an introduction to the fundamental aspects of Calculus and an introduction to limits, derivatives, and general curve sketching. A Texas Instruments TI-83 or TI-84 series graphing calculator is required."
"Precalculus Accelerated","https://curriculum.siprep.org/courses/precalculus-accelerated/","2304","Mathematics","11","Year","Elective","C","Grades of B or better in both semesters of Algebra 1 Accelerated (or B- or below in Algebra 1 Accelerated/successful completion of Algebra 1 and a successful petition to department chair given suitable grade and recommendation from Geometry Accelerated or Honors), Geometry, Geometry Honors, or Geometry Accelerated. At least one accelerated or honors mathematics course must be completed as a freshman or sophomore.","Approval of Department Chair, based on: teacher recommendation; satisfactory national test scores; past performance in Math, especially Algebra 1, Algebra 1 Accelerated, or Algebra 2 Honors","Elective for juniors fulfilling six-semester graduation requirement in lieu of Algebra 2","Precalculus mathematics is a course designed for the student who intends to continue the study of mathematics in the direction of the natural or physical sciences and is a preparation for Calculus. Traditional analytic trigonometry is taught at the beginning of the course which includes an intense study of right triangle trigonometry, its applications to vectors, circular functions, and trigonometric identities, and solving trigonometric equations. The rest of the course is an analysis of families of functions and relations – polynomials, rational functions, radical functions, trigonometric functions, logarithmic functions, and exponential functions — and their graphs both algebraically and through the graphing calculator, including an introduction to the fundamental aspects of Calculus. A Texas Instruments TI-83 or TI-84 series graphing calculator is required."
